slug	known	why	emoji
noodle-dynasty-37.8665_-122.2589	Big beef noodle soup, tablet-fast service		🍜
sheng-kee-bakery-37.8685_-122.2588	Taiwanese-HK breads near campus		🥐
yifang-taiwan-fruit-tea-37.8686_-122.2587	Fruit tea with real Taiwanese ingredients		🧋
yogurt-park-37.8679_-122.2598	Late-night froyo, a Berkeley rite since 1977		🍦
din-ding-dumpling-house-37.5893_-122.0229	XLB and cumin dry noodles, out fast		🥟
r-ve-bistro-37.8904_-122.1181	Upscale French bistro classics		🍷
tang-jip-37.6736_-122.0838	Raw crab both ways — soy and spicy		🦀
don-blanc-37.8321_-122.2629	Gopchang the way SoCal does it	un-Americanized Korean, warm service	🍖
zareen-s-37.4267_-122.1441	Pakistani-Indian classics, Palo Alto institution		🍛
eos-nyx-37.3331_-121.8873	Mediterranean occasion dining downtown		🥂
tangjip-korean-restaurant-37.9735_-122.0423	Juicy bulgogi and soon-tofu combos		🍲
burdell-37.8341_-122.2628	Chef Geoff's Oakland soul food	the hometown-pride reservation	🍗
mumu-hot-pot-37.8369_-122.2926	High-grade meats; the 2-for-$75 lunch deal		🍲
june-s-pizza-37.8191_-122.2886	Three pizzas only — charred, herby, right		🍕
chengdu-memory-hotpot-37.4965_-121.9358	Herbal and tomato broths, stacked sauce bar		🍲
doughweime-37.5911_-122.0695	Malasadas in s'mores, black sesame, and ube		🍩
holbox-34.0175_-118.2784	Ceviches and scallop aguachile, tacos on the side	the Mercado La Paloma legend	🦪
fernandez-restaurant-birrieria-32.5757_-117.0845	Birria tacos and consomé, ~$15 all-in	Mr. Fernandez checks on your meal himself	🌮
san-ho-won-37.7596_-122.4102	Charcoal galbi, elevated	book weeks ahead	🥩
butter-crumble-37.805_-122.4096	Pastries people line up for at 7:45am		🥐
arsicault-bakery-37.7834_-122.4593	The croissants and kouign amann SF queues for	find the line before the bakery	🥐
arsicault-37.7808_-122.4133	Cinnamon croissants and the Londoner sandwich		🥐
ham-ji-park-34.0637_-118.2959	Fire-roasted pork ribs — best in LA say regulars		🍖
moo-s-craft-barbecue-34.0733_-118.2182	Central-Texas brisket; line forms before open		🍖
pinecone-bakeshop-34.0944_-118.1282	Peach earl-grey tarts and mango sticky-rice pie		🥧
yunomi-handroll-34.0457_-118.2359	Bar-seat handrolls, built for two	part of DTLA's handroll wave	🍣
sudachi-34.0326_-118.4547	Refined omakase with private rooms		🍣
apollonia-s-pizzeria-34.0618_-118.3428	Square pepperoni with charred curled cups	NYC-vibe slices worth a drive	🍕
quarter-sheets-34.0758_-118.2543	Detroit-style squares and garlic cheese bread	save room for the cake	🍕
mama-xita-bbq-34.1038_-118.0739	Chinese BBQ skewers, straight from the mainland original		🍢
temaki-society-34.0499_-118.2493	The $88 couples handroll combo, speakeasy in back		🍣
kyungbokkung-33.8493_-117.9985	Wagyu course dining, hanok-elegant	K-BBQ as a fine-dining arc	🥩
dha-rae-ok-34.0505_-118.3089	Preorder the purple-rice-stuffed roast duck	call a day ahead	🦆
good-mong-kok-bakery-37.7954_-122.4084	Takeout dim sum by the bag, cash moves the line		🥟
sotto-mare-37.7998_-122.4083	The crab cioppino — one order feeds two	North Beach classic counter	🦀
pop-mart-37.7866_-122.4079	Labubu blind boxes and figure walls		🧸
a-bathing-ape-37.7879_-122.4064	BAPE's long-awaited SF flagship		🦍
la-perla-cocina-mexicana-3-32.7232_-117.231	The Oaxaca California burrito	bang-for-buck SD counter	🌯
space-city-vintage-34.0498_-118.2398	Vintage finds up a mysterious staircase		🧥
bestia-34.0337_-118.2293	Seasonal pastas and that bone-marrow energy	the Arts District perennial	🍝
shin-sen-gumi-34.0479_-118.2399	Charcoal yakitori and Hakata ramen		🍜
woody-34.0455_-118.2365	Textured rib tees with a cult following		👕
dover-street-market-34.0378_-118.2314	Designer installations as an experience		🛍️
still-life-studios-34.0388_-118.2326	Beginner-friendly 'Bowl in One' ceramics class		🏺
cafe-little-tokyo-by-fr2-34.0498_-118.2398	Coffee bar tucked in a Japanese streetwear shop		☕
okayama-kobo-34.0497_-118.2402	Hidden hotel-lobby matcha and anpan		🍵
fugetsu-do-34.0502_-118.2404	Handmade mochi since 1903	LA's oldest mochi shop	🍡
little-tokyo-farmers-market-34.0479_-118.2419	Saturday market with standout produce vendors		🧺
little-tokyo-galleria-shopping-center-34.0445_-118.2384	Revived galleria of shops and flea markets		🛒
ten-no-meshi-34.0408_-118.4433	A5 wagyu katsu — an interesting collision		🍱
liu-s-cafe-34.0636_-118.3084	Taiwanese lu rou fan and spicy dumplings		🍚
hey-tea-34.0704_-118.4049	Fresh mango cheese-cloud teas		🧋
go-greek-yogurt-34.0689_-118.4059	Greek froyo — rose, sour cherry, hazelnut		🍦
sushi-kyo-34.15_-118.0012	Sushi boats and bentos, huge menu, fair prices		🍣
kanomwaan-thai-gelato-and-dessert-cafe-34.1021_-118.3055	Mango-sticky-rice shaved ice and pandan toast	do not sleep on this	🥭
lingyun-milk-fun-34.079_-118.1228	Dry yogurt — like mango lassi, solidified		🥛
the-gourmet-cobbler-factory-34.1466_-118.1295	Peach cobbler and fall-apart ribs, decades running		🥧
little-akihabara-34.0494_-118.2407	Pre-owned anime figures at markdown prices		🎌
amboy-34.0613_-118.2396	Filipino BBQ plates in old Chinatown		🍖
miya-miya-34.0335_-118.2422			🥙
chinese-bakery-deli-37.692_-122.1476	The $3.50 fried fish sandwich	no-frills old-school bakeshop	🥪
good-alley-34.0798_-118.0848	Guan tang bao and wagyu Chinese burgers		🥟
del-amo-fashion-center-33.8311_-118.3494	SoCal mega-mall with a dining pavilion		🛒
luv2eat-thai-bistro-34.0977_-118.3359	Khao soi and moo ping like Thailand		🍛
bone-kettle-34.1471_-118.1491	Slow-cooked bone broth with oxtail		🍲
tsuke-artisan-noodle-34.1452_-118.1521	Japan-caliber tsukemen	westside people drive for it	🍜
onigiri-time-34.1461_-118.1298	Giant onigiri with wasabi cream, from a cart		🍙
bodegon-no-69-34.1472_-118.149	Peruvian mariscos and lomo warmth		🐟
kang-kang-food-court-34.0788_-118.1224	Pan-fried buns and savory Shanghai mooncakes		🥟
ry-s-poke-shack-34.1457_-118.0949	Mainland's most Hawaii-true poke		🐟
stagger-coffee-34.0582_-118.2938	Jasmine matcha with cream top		🍵
mensho-37.9002_-122.0609	Tokyo-born ramen and a sleeper pudding		🍜
paper-rice-spring-rolls-bowls-34.1467_-118.1498	Build-your-own spring rolls — get the beef		🍤
okaeri-japanese-bistro-37.7585_-122.4196	Omakase by Chef Master — yes, his name	neighborhood omakase pricing	🍣
indigo-cow-34.0772_-118.2589	Crème-brûlée soft serve, torched to order		🍦
proof-bakery-34.117_-118.2616	The sea-salt chocolate-chip cookie	Atwater's quiet perfectionist	🍪
motto-tea-cafe-34.1443_-118.1525	Jiggly soufflé pancakes, sweet or pork		🥞
ebisu-life-store-34.0931_-118.1306	Japanese homewares, stationery, claw machines		🏮
alittle-tea-34.0795_-118.1021	Sub-$5 fruit teas with free toppings		🧋
mian-34.0801_-118.1044	Chongqing braised-pork noodles		🍜
chayan-33.9888_-117.9032	Da-hong-pao and osmanthus-lychee teas		🍵
unique-green-34.0793_-118.104	Cloud matcha lattes in a photo-ready space		🧋
bistro-na-s-34.1048_-118.0723	Imperial Manchurian dishes — order the crispy shrimp		🦐
golden-deli-34.1028_-118.1117	Phở and the legendary crispy egg rolls		🍜
browned-34.08_-118.0991	Cream puffs in a dozen rotating flavors		🧁
nuo-mochi-34.064_-118.1346	Oversized mochi — taro cream-cheese Oreo		🍡
chong-qing-special-noodles-34.103_-118.0917	Broth-heavy soup dumplings and hand-cut noodles		🍜
lao-ma-tou-hot-pot-33.9926_-117.8907	Spicy Chongqing pots, best-in-class sauce bar		🍲
baking-with-ish-34.099_-118.109	Filipino-inspired pastries, always something new		🍞
pizzeria-sei-34.0549_-118.3835	Tokyo-style Neapolitan pies — get the Diavola	the table everyone's chasing	🍕
honeymee-34.0488_-118.2398	Honey-drizzled milk soft serve and affogato		🍯
shoe-palace-34.0487_-118.2411	Sneakers and streetwear staples		👟
little-tokyo-table-tennis-34.0503_-118.2405	Paddles, gear, and ping-pong club culture		🏓
bait-34.0836_-118.3578	Limited kicks and Bearbrick walls		👟
palace-34.0806_-118.3881	Skate deck and drop-day pilgrimages		🛹
b-patisserie-37.7878_-122.4409	The kouign amann mothership	worth the California St climb	🥐
more-yogurt-33.6972_-117.8283	Insanely creamy avocado-yogurt smoothies		🥑
fleurs-et-sel-34.0322_-118.3589	Sea-salt chocolate-chip cookies people drive hours for		🍪
petersen-automotive-museum-34.0623_-118.361	One of the world's great car collections		🏎️
always-yours-bakery-cafe-37.6963_-122.0776	Character cream puffs and ceremonial matcha		🧁
tadaima-37.7585_-122.4196	Tempura sando and pistachio-cream lattes		🍤
harucake-34.0633_-118.2972	Korean-style cakes and soosoo matcha		🍰
lao-xi-noodle-house-34.1293_-118.055	Wife's Special Noodles with braised beef		🍜
626-hospitality-group-34.1301_-118.0253	Curated froyo, an Arcadia ritual since 1990		🍦
ipoh-kopitiam-34.0779_-118.1232	Curry laksa, Hainan chicken, char kway teow		🍛
kyuramen-x-tbaar-34.1076_-118.0316	Ramen booths plus a boba bar		🍜
jincook-34.1504_-118.2547	Korean soul food and steamed dumplings		🍲
yi-mei-34.1031_-118.0947	Taiwanese breakfast — beef rolls, rice balls		🍙
artisanal-goods-by-car-34.1461_-118.1295	Some of LA's finest croissants, on Colorado		🥐
kazunori-34.1461_-118.1373	The 4-handroll set, always	the original handroll bar chain	🍣
kissa-by-motto-34.1433_-118.1526	Pistachio cloudy lattes and Motto cakes		☕
neighbors-friends-cafe-34.1467_-118.1486	Charcuterie boxes and build-your-own brunch		🧀
pijja-palace-34.0811_-118.2704	Malai rigatoni — the Indian-Italian flavor bomb	the sports-bar fusion everyone cites	🍕
square-enix-cafe-shop-34.05_-118.2407	Final Fantasy drinks and themed desserts		🎮
cafe-knotted-arts-district-34.0455_-118.2368	Strawberry-cream donuts and Dubai chocolate		🍩
mat-34.0637_-118.3993	Grass-fed NZ beef tasting for two		🥩
unreal-poke-34.1281_-118.0551	Hawaii-authentic poke, not the chain kind		🐟
grand-central-market-34.051_-118.2488	A century of food stalls under one roof	the DTLA everything-craving fix	🧺
sidecar-doughnuts-coffee-34.0214_-118.4959	Salted-malted cookie-dough donut	a decade of best-donut loyalty	🍩
go-greek-yogurt-34.0136_-118.4967	Tart Greek froyo and cherry toppings		🍦
fusion-dumpling-37.7964_-122.4061	Dan dan noodles and ice-bowl chili noodles		🥟
outta-sight-pizza-37.7945_-122.4039	Peking duck and Gal Pal slices		🍕
tony-s-pizza-napoletana-37.8003_-122.409	Every pizza style under one roof	the world-champion pizzaiolo's flagship	🍕
r-g-lounge-37.7941_-122.4049	Salt-and-pepper Dungeness crab	Chinatown's banquet classic	🦀
z-y-restaurant-37.796_-122.406	Chili-oil Sichuan that made Chinatown sweat		🌶️
rintaro-37.7688_-122.4151	Yakitori, sashimi, and an ume welcome drink		🍢
asanebo-japanese-gourmet-34.1436_-118.3919	Studio City omakase from social-media-famous pros		🍣
marina-del-rey-33.9797_-118.4402			⚓
mandarin-coffee-stand-34.1393_-118.1319	Sicilian citrus coffee in the Burlington Arcade		🍊
delight-pastry-34.1465_-118.1491	The viral strawberry and mango fruit desserts		🍓
wa-iro-34.1451_-118.1486	Crackly-top salt bread, red-bean filled		🍞
oakobing-34.1465_-118.1479	Bingsu — the 2-drinks-plus-shaved-ice deal		🍧
bodega-34.0335_-118.2422	Streetwear and sneaker drops		👟
kato-34.0341_-118.241	Taiwanese flavors, tasting-menu form		🍱
one-piece-cafe-34.0484_-118.2423	One Piece themed drinks and curry		🏴‍☠️
petitgrain-boulangerie-34.0256_-118.4906	Warm croissants worth the morning line		🥐
fondry-34.123_-118.2129	Immaculate laminated pastries, weekend quiches		🥐
r-publique-34.0641_-118.3437	The brunch and pastry case of record	the mid-Wilshire cathedral of brunch	🥖
house-of-bread-34.0481_-118.4352	Fresh sangak and buttery croissants		🫓
artelice-patisserie-34.0381_-118.4418	Orange-blossom and fruit pastries	fragrant like northern Iran in spring	🍰
copenhagen-pastry-34.0093_-118.412	Princess cake and true Danish pastry		🥐
des-croissants-paris-34.0309_-118.3803	Close-your-eyes pain au chocolat		🥐
hi-bake-34.0684_-118.399	Beverly Hills bakes with a hype line		🥐
hakone-estate-and-gardens-37.2526_-122.0419	18 acres of Japanese gardens and tea rooms		🎋
hama-sushi-34.0486_-118.2404	Sushi and sashimi only — no rolls, no fusion	the purist's Little Tokyo counter	🍣
88pc-cafe-34.0507_-118.3089	K-town PC bang, games preloaded		🖥️
jam-jam-tea-lab-34.1455_-118.1509	Coconut-mango pomelo and ube cheese foam		🧋
yala-coffee-34.0911_-118.2793	Turkish coffee and the Evil Eye latte		🧿
molly-tea-arcadia-34.1268_-118.0543	Premium jasmine milk tea		🧋
gentle-monster-34.0432_-118.2549	Sunglasses in a kinetic-sculpture gallery		🕶️
about-time-34.062_-118.2939	Late-night K-town cafe, two aesthetic floors		☕
elite-gaming-club-34.0637_-118.3096	Fast rigs, no lag spikes, built to lock in		🖥️
damo-34.0573_-118.3071	Matcha einspänner with velvety foam		🍵
yi-mei-34.1315_-118.0194	Taiwanese breakfast — meatball rice, salty soy milk		🍙
petit-trois-34.0842_-118.3382	Escargot and Parisian counter energy		🍷
sono-felice-by-christine-34.0551_-118.3087	Perms and restorative K-salon work		💇
bcd-tofu-house-34.0561_-118.3095	Scalding soondubu at any hour	the K-town late-night anchor	🍲
ahgassi-gopchang-34.0633_-118.3039	Grilled gopchang, industrial and late		🍖
chicha-san-chen-34.0632_-118.3018	Tea brewed to order — the cleanest cup in K-town	the 4.9-star boba anomaly	🧋
damsot-34.0625_-118.2977	Steak dolsot pots and that raw-fish banchan		🍚
rok-coffee-and-tea-34.0524_-118.3023	The matcha duo — K-town's favorite order		🍵
rice-nori-34.1156_-118.1509	Fresh onigiri and the 3-handroll set		🍙
macy-s-34.139_-118.133	Department store with historic displays		🛒
residence-inn-los-angeles-pasadena-old-t-34.1503_-118.1508	Apartment-style stay off Old Town		🏨
cos-34.0592_-118.4185	Minimalist wardrobe staples		🛍️
olive-young-34.1454_-118.1518	K-beauty essentials, straight from Seoul		💄
sul-beans-34.0629_-118.31	Injeolmi bingsoo and injeolmi toast	the post-KBBQ dessert ritual	🍧
424-34.0839_-118.3747	Curated WeHo designer boutique		🛍️
vivienne-westwood-34.0835_-118.3711	Punk-royal tailoring pilgrimage		👑
glossier-34.0821_-118.3774	The you-but-better makeup flagship		💄
community-goods-34.0822_-118.3823	Einspänner and matcha, sellout-early pastries		☕
out-of-ordi-34.0574_-118.3076	Viral Korean salt bread — 8-per-person limit		🍞
nana-s-green-tea-34.1467_-118.1492	Matcha soft-serve lattes and katsu curry		🍵
arc-teryx-34.0719_-118.3442	Shell-jacket mecca on La Brea		🏔️
community-goods-34.0841_-118.3636	Einspänner and matcha, sellout-early pastries		☕
adidas-y3-34.083_-118.3739	Y-3 drops at the flagship		👟
chrome-hearts-34.081_-118.3853	Silver-heavy statement jewelry		💍
bape-store-34.0807_-118.386	Shark hoodies and camo classics		🦍
madhappy-34.0806_-118.3869	Optimist-branded fleece, cafe inside		🛍️
2nd-street-34.0835_-118.3547	Japanese-style thrift with real finds		🧥
providence-34.0836_-118.3302	Cimarusti's seafood tasting — high craft, quiet confidence		🦞
kith-34.0678_-118.4011	Sneaker-and-cereal-bar flagship on Rodeo		👟
the-vitamin-shoppe-34.1427_-118.1327	Supplements with attentive staff		💊
sugarfish-34.1433_-118.1318	The Trust Me — nigiri on autopilot		🍣
mendocino-farms-34.1418_-118.132	Seasonal gourmet sandwiches		🥪
tosakko-ramen-yakitori-34.146_-118.1453	Yakitori that outdoes Little Tokyo's, plus ramen		🍢
woon-34.169_-118.122	Chewy handmade beef noodles, cozy-modern		🍜
dumpling-wei-34.1462_-118.1186	Northern Chinese plates, lots under $10		🥟
badash-bakes-34.146_-118.1453	Matcha blondies and out-the-door lines		🧁
cava-34.1401_-118.1329	Build-your-own Mediterranean bowls		🥗
tsukiyo-sushi-34.0621_-118.3133	Crispy-rice sushi and private rooms		🍣
sonmari-34.0891_-118.2763	K-town's newest handroll counter		🍣
sugarfish-34.0683_-118.3982	Trust Me menu; a hidden 20-course room		🍣
restaurant-ki-34.0501_-118.2414	Modern Korean tasting behind an elevator maze	the hardest part is finding it	🍱
sushi-kaneyoshi-34.0501_-118.2414	Basement omakase below a parking structure		🍣
jeong-yuk-jeom-34.0629_-118.3095	Dry-aged ribeye, butcher-shop style		🥩
nobu-34.0871_-118.3767	Black cod miso and wagyu tacos		🍣
kod-34.0342_-118.2297	Moody Arts District Japanese with sake care		🍶
longo-seafood-restaurant-34.0624_-118.1047	Banquet-hall dim sum; imperial cold chicken		🥟
dai-ho-restaurant-34.1053_-118.0693	Peppercorn-numbing beef noodle soup	juancun nostalgia in a bowl	🍜
sea-harbour-seafood-restaurant-34.0798_-118.0735	Dim sum worth the 35-minute wait		🥟
lunasia-dim-sum-house-34.0922_-118.1323	White-tablecloth dim sum, Michelin-selected		🥟
mun-korean-steakhouse-34.0638_-118.2985	The Feast — premium cuts, cooked for you		🥩
chosun-galbee-34.0524_-118.3103	OG K-town galbi and best-in-city neng myun		🥩
3cat-34.0584_-118.3088	Handmade mango-mochi drinks		🧋
sun-nong-dan-34.0592_-118.3088	Boiling sullungtang and galbi jjim	the line wraps the parking lot	🍲
parks-bbq-34.0538_-118.292	Kobe-style beef and marinated galbi	the KBBQ gold standard	🥩
marugame-monzo-34.0501_-118.24	Hand-pulled udon — cold ikura is the move		🍜
sushi-gen-34.0467_-118.2387	The sashimi lunch deal locals queue for	Little Tokyo institution	🍣
gwen-34.0978_-118.3334	Butcher-shop dining — lobster ravioli, flat iron		🥩
kali-34.0834_-118.3244	Seasonal California tasting; the Kali meringue gelato		🍽️
miopane-34.1475_-118.1491	IG-famous stuffed bagels — smoked gouda everything		🥯
chagee-modern-teahouse-34.1437_-118.2558	Fancy-bagged milk teas in a gorgeous room		🍵
auntea-jenny-34.0797_-118.1044	Rich, creamy matcha series		🧋
charlie-s-tea-34.0802_-118.1027	Ceylon black with pecan cream top		🧋
heytea-34.0681_-118.1341	Cheese-cloud teas at Atlantic Times Square		🧋
molly-tea-34.0796_-118.1063	Jasmine milk tea behind the giant teacup	the SGV boba heavyweight	🧋
danbi-coffee-34.1448_-118.1232	Creamy matcha and Korean pastries		☕
a-little-tea-34.1463_-118.1159	Quick quality boba across from PCC		🧋
